ProximityToWaterBody,Elevation,Rainfall,Vegetation,Urbanization,Soil,Drainage,Slope,StormFrequency,Wetlands,Deforestation,Season,Infrastructure,Encroachment,FloodRisk
Far from Lake,2,246,Sparse,Low,Rocky,Good,Steep,Frequent,Present,Severe,Dry,Weak,Severe,Low
Very Close to Dam,27,13,Moderate,High,Clay,Poor,Moderate,Rare,Present,Severe,Transition,Moderate,Severe,Medium
Close to Stream,214,870,Dense,Medium,Rocky,Moderate,Flat,Frequent,Present,Moderate,Dry,Weak,None,Medium
Very Far from River,14,655,Sparse,High,Sandy,Poor,Moderate,Rare,Absent,Moderate,Dry,Weak,None,Medium
Moderately Close to Lake,160,639,Dense,High,Sandy,Good,Moderate,Occasional,Present,Severe,Dry,Strong,None,Low
Close to Stream,50,827,Dense,Medium,Clay,Poor,Flat,Occasional,Present,Moderate,Rainy,Moderate,Severe,Medium
Very Far from Stream,16,941,Moderate,Medium,Rocky,Moderate,Steep,Occasional,Present,Moderate,Transition,Moderate,None,Low
Very Far from Lagoon,251,237,Dense,Medium,Rocky,Poor,Moderate,Rare,Absent,None,Dry,Moderate,Moderate,Low
Close to Stream,246,980,None,High,Loamy,Moderate,Moderate,Occasional,Present,Moderate,Rainy,Moderate,Severe,Medium
Far from Dam,268,333,Moderate,Medium,Clay,Poor,Steep,Frequent,Absent,Severe,Rainy,Strong,Severe,Low
Moderately Close to River,111,147,Dense,Low,Clay,Poor,Moderate,Occasional,Absent,Moderate,Transition,Moderate,None,Low
Far from Lagoon,115,62,Sparse,High,Loamy,Poor,Flat,Rare,Absent,Moderate,Rainy,Moderate,Moderate,Medium
Moderately Close to Lagoon,190,977,Sparse,High,Clay,Good,Flat,Frequent,Present,Moderate,Transition,Moderate,None,Medium
Moderately Close to Stream,12,192,Dense,Low,Loamy,Poor,Steep,Rare,Absent,Severe,Dry,Weak,None,Low
Very Close to Lagoon,105,349,None,Medium,Loamy,Moderate,Flat,Frequent,Present,None,Rainy,Weak,None,Medium
Close to Lake,266,62,None,High,Sandy,Moderate,Flat,Rare,Absent,None,Rainy,Weak,Severe,Medium
Very Far from River,154,483,None,High,Sandy,Poor,Steep,Occasional,Present,Moderate,Transition,Weak,Severe,Medium
Close to Lagoon,10,888,Dense,High,Sandy,Poor,Flat,Occasional,Absent,None,Rainy,Weak,Severe,High
Moderately Close to Dam,192,833,None,Medium,Sandy,Moderate,Moderate,Rare,Absent,None,Dry,Moderate,None,Low
Very Far from River,89,968,None,Low,Clay,Good,Moderate,Occasional,Present,Severe,Dry,Moderate,None,Low
Very Close to Lagoon,164,936,Sparse,Medium,Loamy,Good,Flat,Occasional,Absent,Severe,Rainy,Strong,None,Medium
Far from Dam,254,443,Dense,Low,Clay,Moderate,Moderate,Rare,Present,Moderate,Transition,Weak,Moderate,Low
Far from Lagoon,175,917,None,High,Rocky,Moderate,Steep,Occasional,Absent,Moderate,Rainy,Strong,Moderate,Medium
Far from River,80,98,Moderate,High,Loamy,Poor,Moderate,Frequent,Present,Severe,Rainy,Weak,Severe,Medium
Very Close to River,286,779,Moderate,Low,Clay,Moderate,Flat,Occasional,Absent,None,Rainy,Moderate,None,Low
Close to Dam,190,750,Moderate,Low,Sandy,Poor,Steep,Occasional,Absent,None,Transition,Weak,Severe,Low
Very Close to Lagoon,180,588,Dense,Low,Sandy,Good,Flat,Occasional,Absent,Moderate,Dry,Strong,Moderate,Low
Very Far from River,237,3,Dense,High,Sandy,Poor,Flat,Rare,Absent,Severe,Dry,Strong,Moderate,Low
Close to Stream,286,546,Dense,Medium,Sandy,Poor,Flat,Occasional,Present,Severe,Rainy,Strong,None,Medium
Moderately Close to River,21,720,Moderate,High,Rocky,Good,Moderate,Rare,Present,None,Transition,Strong,Severe,Low
Very Close to Stream,32,47,Moderate,Medium,Loamy,Moderate,Steep,Rare,Absent,Moderate,Transition,Weak,Severe,Medium
Moderately Close to River,289,113,Moderate,Low,Loamy,Poor,Steep,Occasional,Present,None,Transition,Moderate,None,None
Moderately Close to Lake,85,545,Sparse,High,Rocky,Good,Steep,Frequent,Absent,Moderate,Rainy,Weak,Severe,Medium
Very Close to Stream,119,362,Moderate,High,Loamy,Moderate,Steep,Occasional,Present,None,Rainy,Strong,None,Low
Moderately Close to River,76,834,None,Low,Loamy,Poor,Moderate,Frequent,Present,None,Dry,Strong,None,Medium
Moderately Close to Dam,283,954,Dense,Medium,Loamy,Poor,Flat,Rare,Present,Severe,Transition,Strong,Severe,Medium
Close to River,194,894,Moderate,Medium,Clay,Moderate,Flat,Occasional,Absent,Moderate,Transition,Strong,Severe,Medium
Very Close to Stream,108,801,Dense,High,Rocky,Poor,Moderate,Rare,Absent,None,Dry,Strong,Severe,Medium
Very Far from River,119,125,Sparse,High,Sandy,Good,Moderate,Occasional,Present,Moderate,Transition,Strong,Moderate,Low
Far from River,57,285,Sparse,Medium,Clay,Good,Steep,Rare,Present,None,Rainy,Moderate,None,Low
Moderately Close to Dam,205,616,Moderate,High,Loamy,Moderate,Steep,Occasional,Absent,None,Transition,Weak,Severe,Low
Very Far from Lake,166,285,Dense,Low,Loamy,Good,Moderate,Occasional,Present,Moderate,Rainy,Weak,None,Low
Moderately Close to River,80,584,Dense,Low,Sandy,Good,Steep,Frequent,Absent,Severe,Rainy,Weak,None,Medium
Close to River,13,776,Sparse,High,Sandy,Poor,Flat,Frequent,Absent,Moderate,Transition,Weak,Severe,High
Far from Lake,185,281,Dense,Low,Sandy,Poor,Flat,Occasional,Present,Severe,Transition,Moderate,Severe,Low
Far from Stream,230,397,Dense,High,Rocky,Poor,Flat,Occasional,Absent,Moderate,Transition,Moderate,None,Low
Close to River,221,21,Moderate,High,Sandy,Good,Steep,Rare,Absent,None,Rainy,Weak,Moderate,Low
Very Far from Lake,127,504,None,Medium,Clay,Poor,Flat,Frequent,Absent,Moderate,Dry,Strong,Moderate,Medium
Moderately Close to Stream,79,132,Moderate,Medium,Sandy,Poor,Steep,Rare,Absent,None,Rainy,Strong,Severe,Low
Close to Dam,240,301,None,Low,Clay,Good,Steep,Frequent,Present,Severe,Rainy,Weak,None,Low
Very Close to Lake,181,549,Moderate,High,Sandy,Poor,Steep,Occasional,Present,Moderate,Transition,Strong,Severe,Low
Close to Dam,168,257,None,High,Sandy,Poor,Flat,Rare,Present,Severe,Rainy,Moderate,Moderate,Medium
Moderately Close to Lagoon,21,753,Dense,Low,Rocky,Moderate,Steep,Rare,Present,None,Dry,Moderate,None,Low
Far from River,238,325,Moderate,Low,Rocky,Poor,Steep,Rare,Present,Moderate,Rainy,Strong,None,None
Very Close to River,7,686,None,Low,Clay,Moderate,Moderate,Rare,Present,None,Rainy,Weak,Moderate,Medium
Far from Lake,51,660,Dense,High,Sandy,Poor,Flat,Occasional,Absent,Severe,Dry,Moderate,None,Medium
Very Close to Lake,109,222,Dense,Low,Sandy,Poor,Moderate,Occasional,Present,Severe,Rainy,Weak,None,Medium
Moderately Close to Stream,256,310,Dense,High,Loamy,Good,Flat,Frequent,Absent,Severe,Transition,Weak,Moderate,Medium
Moderately Close to River,256,955,Moderate,High,Rocky,Moderate,Steep,Frequent,Absent,Severe,Transition,Weak,None,Medium
Very Close to Lagoon,136,294,Moderate,Low,Rocky,Moderate,Moderate,Rare,Absent,Moderate,Dry,Moderate,Severe,Low
Close to River,270,55,Sparse,Medium,Sandy,Poor,Steep,Occasional,Present,Severe,Dry,Weak,Moderate,Low
Very Far from River,148,687,Dense,Low,Sandy,Good,Flat,Occasional,Absent,None,Dry,Moderate,Moderate,Low
Close to Dam,46,34,Dense,Medium,Clay,Poor,Flat,Occasional,Absent,None,Rainy,Moderate,Severe,Medium
Close to Lake,170,751,None,Low,Sandy,Poor,Moderate,Rare,Absent,Moderate,Transition,Strong,Moderate,Medium
Moderately Close to River,77,54,Dense,Medium,Rocky,Moderate,Steep,Rare,Absent,Moderate,Rainy,Moderate,None,Low
Very Far from Lagoon,278,635,Dense,Medium,Clay,Poor,Flat,Rare,Absent,None,Transition,Strong,Moderate,Low
Far from Stream,37,621,None,Medium,Sandy,Moderate,Flat,Occasional,Absent,None,Transition,Moderate,Moderate,Medium
Very Close to River,185,789,None,Low,Clay,Good,Steep,Frequent,Absent,Severe,Rainy,Strong,None,Medium
Very Close to Lagoon,97,975,Moderate,High,Sandy,Moderate,Flat,Rare,Absent,Severe,Rainy,Weak,Moderate,High
Very Far from Dam,46,698,Dense,High,Sandy,Good,Moderate,Frequent,Present,Severe,Dry,Strong,None,Low
Far from Lagoon,4,620,None,Low,Rocky,Good,Moderate,Frequent,Absent,Severe,Transition,Strong,Moderate,Medium
Far from Lagoon,282,946,Sparse,High,Rocky,Good,Flat,Frequent,Absent,None,Rainy,Moderate,Severe,Medium
Moderately Close to Stream,32,145,Moderate,High,Clay,Poor,Steep,Frequent,Present,Moderate,Transition,Moderate,Moderate,Medium
Close to River,101,620,None,Low,Sandy,Moderate,Steep,Occasional,Present,Moderate,Dry,Strong,None,Low
Moderately Close to Lagoon,126,992,None,High,Clay,Poor,Steep,Rare,Present,Moderate,Rainy,Weak,Moderate,High
Far from Lake,300,747,Sparse,High,Clay,Poor,Flat,Frequent,Absent,Severe,Transition,Strong,Moderate,Medium
Far from Lagoon,150,760,None,Low,Clay,Good,Flat,Occasional,Present,Moderate,Dry,Weak,None,Low
Very Far from Stream,149,40,Sparse,Low,Sandy,Good,Moderate,Rare,Present,Moderate,Dry,Strong,Severe,Low
Close to Stream,256,866,Sparse,High,Clay,Good,Steep,Frequent,Absent,None,Transition,Moderate,Moderate,Low
Very Close to Lagoon,185,837,Sparse,Medium,Rocky,Moderate,Steep,Frequent,Absent,Severe,Transition,Weak,Moderate,Medium
Moderately Close to River,253,795,Moderate,Medium,Rocky,Moderate,Steep,Rare,Present,None,Transition,Moderate,Moderate,Low
Far from Dam,187,766,Dense,Low,Sandy,Good,Steep,Frequent,Present,Severe,Transition,Strong,Severe,Low
Very Far from Lake,223,789,Dense,Low,Rocky,Poor,Flat,Occasional,Present,None,Rainy,Weak,Severe,Low
Far from Lake,68,839,Dense,Low,Loamy,Good,Moderate,Rare,Present,None,Dry,Moderate,None,None
Close to Dam,131,864,Dense,Medium,Rocky,Moderate,Moderate,Occasional,Present,Moderate,Rainy,Weak,Severe,Medium
Moderately Close to River,171,837,Dense,Medium,Clay,Moderate,Flat,Rare,Present,Severe,Transition,Moderate,None,Low
Close to River,139,383,Dense,High,Loamy,Good,Flat,Occasional,Present,Severe,Dry,Weak,Severe,Medium
Very Close to Dam,256,446,Sparse,High,Rocky,Poor,Steep,Occasional,Absent,None,Transition,Weak,Moderate,Medium
Moderately Close to Stream,94,806,None,Low,Clay,Moderate,Moderate,Rare,Present,Moderate,Dry,Weak,None,Medium
Close to Lake,245,740,Dense,High,Clay,Poor,Steep,Rare,Present,Severe,Transition,Moderate,Moderate,Low
Very Far from Lagoon,286,17,Sparse,High,Sandy,Poor,Moderate,Frequent,Present,Moderate,Transition,Weak,Severe,Medium
Very Far from Lagoon,85,305,None,Medium,Rocky,Poor,Flat,Frequent,Present,Moderate,Rainy,Weak,None,Medium
Close to River,7,799,Dense,Low,Loamy,Moderate,Moderate,Occasional,Absent,Moderate,Transition,Moderate,Moderate,Medium
Close to River,85,35,Moderate,Medium,Loamy,Poor,Steep,Occasional,Present,Moderate,Dry,Weak,Severe,Low
Very Close to Lake,102,140,Moderate,High,Clay,Moderate,Moderate,Occasional,Absent,Moderate,Transition,Moderate,Severe,Medium
Very Far from Dam,49,674,Moderate,Low,Clay,Moderate,Flat,Occasional,Present,Moderate,Dry,Weak,Moderate,Low
Far from River,216,310,Moderate,Medium,Sandy,Moderate,Flat,Rare,Absent,Severe,Transition,Weak,None,Low
Moderately Close to River,115,882,None,Medium,Rocky,Moderate,Steep,Frequent,Present,Moderate,Dry,Weak,Severe,Medium
Very Close to River,234,969,Sparse,Low,Clay,Good,Flat,Rare,Absent,Moderate,Rainy,Weak,Severe,Medium
Close to Stream,7,642,Sparse,Low,Rocky,Poor,Moderate,Rare,Absent,None,Dry,Strong,None,Low
Very Close to Lake,36,944,Dense,Medium,Loamy,Poor,Flat,Frequent,Present,None,Rainy,Strong,Severe,High
Very Close to Lake,179,797,Dense,High,Loamy,Poor,Flat,Rare,Absent,None,Transition,Weak,Moderate,Medium
Moderately Close to River,31,954,Sparse,High,Rocky,Moderate,Moderate,Frequent,Present,None,Transition,Strong,Moderate,Medium
Very Far from Stream,202,653,None,Low,Loamy,Poor,Steep,Frequent,Absent,Moderate,Rainy,Strong,Moderate,Medium
Very Far from Lagoon,243,588,Dense,High,Sandy,Poor,Steep,Frequent,Present,None,Transition,Strong,Moderate,Low
Very Close to Lake,137,749,Sparse,Low,Clay,Poor,Flat,Frequent,Absent,None,Rainy,Weak,Severe,High
Very Close to River,21,432,Moderate,Medium,Rocky,Moderate,Steep,Occasional,Present,Severe,Dry,Strong,Severe,Medium
Very Far from Lagoon,277,731,Dense,Low,Sandy,Moderate,Flat,Occasional,Absent,Moderate,Transition,Strong,Moderate,Low
Close to Lake,192,379,Dense,Medium,Clay,Poor,Steep,Occasional,Absent,None,Transition,Moderate,Severe,Low
Moderately Close to Lake,226,922,Sparse,Low,Sandy,Good,Moderate,Occasional,Absent,Severe,Dry,Moderate,None,Low
Very Far from Dam,204,711,Sparse,Medium,Sandy,Good,Steep,Occasional,Absent,None,Dry,Strong,Severe,Low
Very Far from Lagoon,214,583,Dense,High,Rocky,Good,Moderate,Rare,Present,Severe,Dry,Weak,None,Low
Far from Lagoon,264,8,Sparse,Medium,Clay,Poor,Moderate,Occasional,Absent,Moderate,Dry,Strong,Moderate,Low
Moderately Close to Stream,6,731,Dense,Medium,Sandy,Poor,Moderate,Frequent,Present,None,Dry,Weak,Moderate,Medium
Far from Dam,259,919,Dense,Low,Sandy,Moderate,Moderate,Rare,Absent,Moderate,Transition,Weak,Moderate,Low
Very Close to River,141,520,Dense,Medium,Rocky,Moderate,Steep,Occasional,Absent,None,Transition,Weak,Moderate,Low
Very Close to River,50,629,None,High,Loamy,Good,Moderate,Rare,Present,Moderate,Transition,Weak,Moderate,Medium
Far from Stream,290,526,Dense,Medium,Rocky,Moderate,Flat,Frequent,Present,None,Dry,Moderate,None,Low
Very Close to River,185,662,Dense,Low,Rocky,Poor,Flat,Occasional,Present,Severe,Transition,Weak,Severe,Medium
Very Close to Dam,230,630,Dense,High,Clay,Good,Moderate,Frequent,Present,None,Rainy,Strong,None,Low
Moderately Close to Stream,22,778,Sparse,Medium,Rocky,Poor,Moderate,Occasional,Present,Severe,Dry,Moderate,Severe,Medium
Moderately Close to Lagoon,108,793,None,Medium,Clay,Moderate,Moderate,Frequent,Absent,None,Transition,Strong,None,Medium
Moderately Close to Lake,41,120,None,High,Loamy,Good,Moderate,Rare,Present,Severe,Rainy,Moderate,Severe,Medium
Very Far from Lake,201,693,None,Low,Loamy,Moderate,Flat,Frequent,Absent,None,Rainy,Moderate,Severe,Medium
Very Close to Stream,124,177,Moderate,Low,Rocky,Poor,Flat,Occasional,Absent,Severe,Rainy,Moderate,Severe,Medium
Moderately Close to Stream,187,53,Moderate,High,Rocky,Moderate,Moderate,Occasional,Absent,Severe,Transition,Weak,Severe,Medium
Very Close to Dam,90,423,Dense,High,Rocky,Good,Moderate,Occasional,Absent,None,Rainy,Weak,Severe,Medium
Far from Dam,170,269,Dense,High,Sandy,Moderate,Steep,Frequent,Absent,Severe,Dry,Strong,Severe,Low
Very Far from Lake,238,250,Sparse,High,Rocky,Poor,Flat,Occasional,Absent,None,Transition,Weak,None,Low
Moderately Close to River,230,32,Dense,Low,Rocky,Good,Moderate,Rare,Absent,None,Rainy,Moderate,Severe,Low
Very Close to Lagoon,248,403,Sparse,Medium,Sandy,Good,Flat,Rare,Absent,Severe,Rainy,Strong,Severe,Medium
Close to Dam,194,889,Dense,High,Clay,Moderate,Flat,Frequent,Present,Severe,Transition,Moderate,Moderate,Medium
Very Close to Lagoon,116,278,None,Medium,Sandy,Moderate,Steep,Rare,Present,Severe,Transition,Strong,None,Low
Moderately Close to Lagoon,49,893,Sparse,Low,Rocky,Moderate,Moderate,Occasional,Present,None,Dry,Strong,None,Low
Very Far from River,33,281,Moderate,Low,Rocky,Poor,Flat,Frequent,Present,Severe,Rainy,Weak,Moderate,Medium
Moderately Close to Dam,117,963,None,High,Clay,Good,Moderate,Rare,Present,None,Rainy,Moderate,Moderate,Medium
Close to Lake,259,698,Moderate,Medium,Loamy,Good,Steep,Occasional,Absent,None,Rainy,Strong,None,Low
Very Close to Dam,95,495,Sparse,High,Loamy,Moderate,Moderate,Occasional,Present,Moderate,Transition,Weak,None,Medium
Very Close to Lake,133,160,Moderate,High,Rocky,Good,Moderate,Occasional,Present,Severe,Rainy,Strong,None,Low
Close to River,258,16,Dense,Medium,Rocky,Poor,Steep,Occasional,Absent,Severe,Transition,Moderate,Moderate,Low
Close to River,146,623,Dense,High,Loamy,Poor,Steep,Rare,Present,Severe,Dry,Strong,None,Low
Very Close to River,112,907,Moderate,High,Rocky,Poor,Flat,Occasional,Present,Severe,Dry,Moderate,Severe,Medium
Very Far from Lake,8,70,Sparse,Medium,Loamy,Good,Flat,Rare,Absent,Severe,Rainy,Weak,None,Medium
Close to Stream,183,16,Dense,Low,Sandy,Moderate,Steep,Rare,Absent,None,Dry,Moderate,Moderate,None
Close to Stream,29,333,Sparse,High,Sandy,Good,Steep,Frequent,Present,Moderate,Dry,Strong,None,Low
Very Far from River,252,79,Dense,Low,Rocky,Poor,Flat,Rare,Present,Severe,Dry,Moderate,None,Low
Far from Stream,21,753,Moderate,High,Rocky,Poor,Moderate,Frequent,Present,Moderate,Dry,Strong,None,Medium
Close to Dam,285,681,Sparse,Medium,Loamy,Poor,Steep,Frequent,Present,Moderate,Dry,Weak,Severe,Medium
Very Far from Lagoon,229,333,Moderate,High,Sandy,Poor,Moderate,Frequent,Present,Severe,Transition,Weak,None,Low
Very Far from River,21,533,Dense,High,Clay,Good,Moderate,Occasional,Present,Moderate,Dry,Weak,Moderate,Low
Far from Lagoon,96,696,None,Low,Sandy,Moderate,Moderate,Frequent,Present,Moderate,Rainy,Weak,Moderate,Medium
Far from Stream,172,875,None,Medium,Loamy,Moderate,Flat,Rare,Absent,Moderate,Rainy,Weak,Moderate,Medium
Very Far from Lagoon,87,361,Sparse,Low,Sandy,Moderate,Steep,Occasional,Absent,Severe,Transition,Moderate,Moderate,Low
Close to Stream,243,721,Dense,Low,Sandy,Moderate,Moderate,Rare,Absent,Severe,Rainy,Strong,None,Low
Moderately Close to River,184,944,Moderate,High,Loamy,Good,Steep,Occasional,Absent,None,Rainy,Strong,Moderate,Low
Very Far from Lagoon,142,721,Dense,Low,Sandy,Poor,Moderate,Rare,Present,Moderate,Transition,Weak,Moderate,Low
